# study<TAB>skill<TAB>evidence-class. Associations are declarations, not proof.
# deterministic regressions are not behavioral skill evidence. Delivery checks are not behavioral evidence.
installed-plugin-ab	humanizing-prose	behavioral
installed-plugin-ab	test-first-implementation	behavioral
installed-plugin-ab	orchestrating	behavioral
installed-plugin-ab	safe-effects	behavioral
installed-plugin-ab	autonomous-run	report-only
installed-plugin-ab	design-and-plan	behavioral
installed-plugin-ab	evidence-research	behavioral
installed-plugin-ab	independent-review	behavioral
installed-plugin-ab	systematic-debugging	behavioral
installed-plugin-ab	upgrading-megapowers	behavioral
installed-plugin-ab	verify-and-finish	behavioral
installed-plugin-ab	writing-agent-instructions	behavioral
pr-replay	test-first-implementation	report-only
install-smoke	evidence-research	delivery
trigger-recall	autonomous-run	activation
trigger-recall	design-and-plan	activation
trigger-recall	evidence-research	activation
trigger-recall	grill-me	activation
trigger-recall	humanizing-prose	activation
trigger-recall	independent-review	activation
trigger-recall	mcp-setup	activation
trigger-recall	memory-hygiene	activation
trigger-recall	orchestrating	activation
trigger-recall	safe-effects	activation
trigger-recall	systematic-debugging	activation
trigger-recall	test-first-implementation	activation
trigger-recall	upgrading-megapowers	activation
trigger-recall	verify-and-finish	activation
trigger-recall	writing-agent-instructions	activation
